price,lotsize,bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea,error,error_decile,abs_error_decile,relative_error
65900,4510,4,2,two,yes,no,yes,no,no,0,no,-4619.773572,6,0,-0.070102786
37900,4000,3,1,two,yes,no,no,no,yes,0,no,21677.65154,8,2,0.571969698
38000,3934,2,1,one,yes,no,no,no,no,0,no,9563.654337,7,1,0.251675114
42000,4960,2,1,one,yes,no,no,no,no,0,no,5999.23282,7,0,0.142838877
42300,3000,2,1,two,yes,no,no,no,no,0,no,511.8800666,6,0,0.012101184
43500,3800,2,1,one,yes,no,no,no,no,0,no,4063.654337,7,0,0.093417341
44000,4960,2,1,one,yes,no,yes,no,yes,0,no,15782.5986,8,1,0.358695423
44500,3000,3,1,one,no,no,no,no,yes,0,no,-649.0117806,6,0,-0.014584534
44900,4500,3,1,two,yes,no,no,no,yes,0,no,16870.03282,8,2,0.375724562
45000,3500,2,1,one,no,no,yes,no,no,0,no,640.293634,6,0,0.014228747
48000,3500,4,1,two,yes,no,no,no,yes,2,no,7144.709502,7,0,0.148848115
49000,4000,2,1,one,yes,no,no,no,no,0,no,-593.8475206,6,0,-0.012119337
51500,4500,2,1,one,yes,no,no,no,no,0,no,-3500.76718,6,0,-0.067976062
61000,6360,2,1,two,yes,no,no,no,no,0,no,-2941.231318,6,0,-0.048216907
61000,4500,2,1,one,yes,no,no,no,yes,2,no,-8027.453037,6,0,-0.131597591
61700,4032,2,1,one,yes,no,yes,no,no,0,no,-6633.175229,6,0,-0.107506892
67000,5170,3,1,four,yes,no,no,no,yes,0,no,13187.46246,8,1,0.196827798
82000,5400,4,2,two,yes,no,no,no,yes,2,no,7311.893569,7,0,0.089169434
54500,3150,2,2,one,no,no,yes,no,no,0,no,-3536.799703,6,0,-0.064895407
66500,3745,3,1,two,yes,no,yes,no,no,0,no,-6545.948743,6,0,-0.098435319
70000,4520,3,1,two,yes,no,yes,no,yes,0,no,-4196.518362,6,0,-0.059950262
82000,4640,4,1,two,yes,no,no,no,no,1,no,-20806.86499,5,2,-0.253742256
92000,8580,5,3,two,yes,no,no,no,no,2,no,9430.984274,7,1,0.102510699
38000,2000,2,1,two,yes,no,no,no,no,0,no,1435.345322,7,0,0.037772245
44000,2160,3,1,two,no,no,yes,no,no,0,no,2268.127998,7,0,0.051548364
41000,3040,2,1,one,no,no,no,no,no,0,no,-4688.643484,6,0,-0.114357158
43000,3090,3,1,two,no,no,no,no,no,0,no,-211.8660508,6,0,-0.004927117
48000,4960,4,1,three,no,no,no,no,no,0,no,2553.399927,7,0,0.053195832
54800,3350,3,1,two,yes,no,no,no,no,0,no,-6777.617217,6,0,-0.123679146
55000,5300,5,2,two,yes,no,no,no,no,0,no,5287.552085,7,0,0.096137311
57000,4100,4,1,one,no,no,yes,no,no,0,no,-5125.137582,6,0,-0.089914694
68000,9166,2,1,one,yes,no,yes,no,yes,2,no,12149.03791,7,1,0.178662322
95000,4040,3,1,two,yes,no,yes,yes,no,1,no,-6694.667285,6,0,-0.070470182
38000,3630,3,3,two,no,yes,no,no,no,0,no,13337.54303,8,1,0.350987974
25000,3620,2,1,one,yes,no,no,no,no,0,no,22484.82668,8,2,0.899393067
25245,2400,3,1,one,no,no,no,no,no,0,no,13653.62591,8,1,0.540844758
56000,7260,3,2,one,yes,yes,yes,no,no,3,no,10015.37523,7,1,0.178845986
35500,4400,3,1,two,yes,no,no,no,no,0,no,14435.66503,8,1,0.406638451
30000,2400,3,1,two,yes,no,no,no,no,0,no,17048.36417,8,2,0.568278806
48000,4120,2,1,two,yes,no,no,no,no,0,no,3461.020105,7,0,0.072104586
48000,4750,2,1,one,yes,no,no,no,no,0,no,-0.767180277,6,0,-1.60E-05
52000,4280,2,1,one,yes,no,no,no,yes,2,no,1716.190158,7,0,0.033003657
54000,4820,3,1,two,yes,no,no,no,no,0,no,-1475.69283,6,0,-0.027327645
56000,5500,4,1,two,yes,yes,yes,no,no,0,no,3256.09645,7,0,0.058144579
60000,5500,3,1,two,yes,no,no,no,yes,0,no,13018.37795,8,1,0.216972966
60000,5040,3,1,two,yes,no,yes,no,yes,0,no,10830.25395,7,1,0.180504232
67000,6000,2,1,one,yes,no,yes,no,yes,1,no,8241.396544,7,1,0.123005919
47000,2500,2,1,one,no,no,no,no,yes,0,no,-5366.781687,6,0,-0.114186844
70000,4095,3,1,two,no,yes,yes,no,yes,0,no,-3211.829616,6,0,-0.04588328
45000,4095,2,1,one,yes,no,no,no,no,2,no,6736.337531,7,0,0.14969639
51000,3150,3,1,two,yes,no,yes,no,no,0,no,892.5959232,7,0,0.017501881
32500,1836,2,1,one,no,no,yes,no,no,0,no,1411.350309,7,0,0.043426163
34000,2475,3,1,two,yes,no,no,no,no,0,no,13048.36417,8,1,0.383775417
35000,3210,3,1,two,yes,no,yes,no,no,0,no,15938.53159,8,1,0.455386617
36000,3180,3,1,one,no,no,no,no,no,0,no,2298.059439,7,0,0.063834984
45000,1650,3,1,two,no,no,yes,no,no,0,no,-8213.648811,6,1,-0.182525529
47000,3180,4,1,two,yes,no,yes,no,yes,0,no,8465.432275,7,1,0.18011558
55000,3180,2,2,one,yes,no,yes,no,no,2,no,1367.413186,7,0,0.024862058
63900,6360,2,1,one,yes,no,yes,no,yes,1,no,8685.754495,7,1,0.1359273
50000,4240,3,1,two,yes,no,no,no,yes,0,no,12096.61964,7,1,0.241932393
35000,3240,2,1,one,no,yes,no,no,no,1,no,2732.251232,7,0,0.078064321
50000,3650,3,1,two,yes,no,no,no,no,0,no,1158.657102,7,0,0.023173142
43000,3240,3,1,two,yes,no,no,no,no,2,no,6714.972029,7,0,0.15616214
55500,3780,2,1,two,yes,yes,yes,no,no,0,no,2459.690258,7,0,0.044318743
57000,6480,3,1,two,no,no,no,no,yes,1,no,16982.06452,8,2,0.297930957
60000,5850,2,1,one,yes,yes,yes,no,no,2,no,2303.231197,7,0,0.038387187
78000,3150,3,2,one,yes,yes,yes,no,yes,0,no,-6043.996492,6,0,-0.077487135
35000,3000,2,1,one,yes,no,no,no,no,1,no,3267.49235,7,0,0.093356924
44000,3090,2,1,one,yes,yes,yes,no,no,0,no,3570.980587,7,0,0.08115865
47000,6060,3,1,one,yes,yes,yes,no,no,0,no,16641.96294,8,2,0.354084318
58000,5900,4,2,two,no,no,yes,no,no,1,no,9367.529625,7,1,0.161509131
163000,7420,4,1,two,yes,yes,yes,no,yes,2,no,-62744.17813,1,7,-0.384933608
128000,8500,3,2,four,yes,no,no,no,yes,2,no,-6496.360289,6,0,-0.050752815
123500,8050,3,1,one,yes,yes,yes,no,yes,1,no,-18739.38698,5,2,-0.151735927
39000,6800,2,1,one,yes,no,no,no,no,0,no,9859.596295,7,1,0.252810161
53900,8250,3,1,one,yes,no,no,no,no,2,no,2688.847261,7,0,0.049885849
59900,8250,3,1,one,yes,no,yes,no,no,3,no,726.1483751,6,0,0.012122677
35000,3500,2,1,one,yes,yes,no,no,no,0,no,10099.92334,7,1,0.288569238
43000,2835,2,1,one,yes,no,no,no,no,0,no,-4750.913516,6,0,-0.110486361
57000,4500,3,2,two,no,no,yes,no,yes,0,no,9797.702456,7,1,0.171889517
79000,3300,3,3,two,yes,no,yes,no,no,0,no,-11182.04253,5,1,-0.141544842
125000,4320,3,1,two,yes,no,yes,yes,no,2,no,-31752.11984,4,3,-0.254016959
132000,3500,4,2,two,yes,no,no,yes,no,2,no,-20985.4783,5,2,-0.158980896
58000,4992,3,2,two,yes,no,no,no,no,2,no,13019.01623,8,1,0.224465797
43000,4600,2,1,one,yes,no,no,no,no,0,no,4999.23282,7,0,0.116261228
48000,3720,2,1,one,no,no,no,no,yes,0,no,1461.714629,7,0,0.030452388
58500,3680,3,2,two,yes,no,no,no,no,0,no,369.3949958,6,0,0.006314444
73000,3000,3,2,two,yes,yes,yes,no,no,0,no,-8606.997175,6,1,-0.117904071
63500,3750,2,1,one,yes,yes,yes,no,no,0,no,-6720.486771,6,0,-0.105834437
43000,5076,3,1,one,no,no,no,no,no,0,no,2126.96044,7,0,0.049464196
46500,4500,2,1,one,no,no,no,no,no,0,no,-1060.6996,6,0,-0.022810744
92000,5000,3,1,two,yes,no,no,no,yes,0,no,-23390.75198,4,2,-0.254247304
75000,4260,4,1,two,yes,no,yes,no,yes,0,no,-7423.636527,6,0,-0.09898182
75000,6540,4,2,two,no,no,no,no,yes,0,no,5284.107442,7,0,0.070454766
85000,3700,4,1,two,yes,yes,no,no,yes,0,no,-19339.76507,5,2,-0.227526648
93000,3760,3,1,two,yes,no,no,yes,no,2,no,-13327.91631,5,1,-0.143310928
94500,4000,3,2,two,yes,no,yes,no,yes,1,no,-9845.386035,6,1,-0.104183979
106500,4300,3,2,two,yes,no,yes,no,no,1,no,-35549.44304,3,4,-0.333797587
116000,6840,5,1,two,yes,yes,yes,no,yes,1,no,-13815.41974,5,1,-0.119098446
61500,4400,2,1,one,yes,no,no,no,no,1,no,-10618.05081,6,1,-0.172651233
80000,10500,4,2,two,yes,no,no,no,no,1,no,720.0237614,6,0,0.009000297
37000,4400,2,1,one,yes,no,no,no,no,0,no,8410.590675,7,1,0.227313261
59500,4840,3,1,two,yes,no,no,no,no,1,no,1693.135007,7,0,0.028456051
70000,4120,2,1,one,yes,no,yes,no,no,1,no,-12695.77406,5,1,-0.181368201
95000,4260,4,2,two,yes,no,no,yes,no,0,no,-23024.36632,4,2,-0.242361751
117000,5960,3,3,two,yes,yes,yes,no,no,1,no,-9230.230958,6,1,-0.078890863
122500,8800,3,2,two,yes,no,no,no,yes,2,no,-5473.239148,6,0,-0.044679503
123500,4560,3,2,two,yes,yes,yes,no,yes,1,no,-29313.94315,4,3,-0.237359864
127000,4600,3,2,two,yes,yes,no,no,yes,2,no,-31786.87986,4,3,-0.250290393
35000,4840,2,1,two,yes,no,no,no,no,0,no,15072.06171,8,1,0.430630335
44500,3850,3,1,two,yes,no,no,no,no,0,no,6503.486056,7,0,0.146145754
49900,4900,3,1,two,no,no,no,no,no,0,no,-3104.677049,6,0,-0.062217977
50500,3850,3,1,one,yes,no,no,no,no,2,no,7226.720313,7,0,0.143103373
65000,3760,3,1,one,yes,no,no,no,no,2,no,-5775.34012,6,0,-0.088851386
90000,6000,4,2,four,yes,no,no,no,no,1,no,3037.159857,7,0,0.033746221
46000,4370,3,1,two,yes,no,no,no,no,0,no,5344.303663,7,0,0.116180514
35000,7700,2,1,one,yes,no,no,no,no,0,no,16790.0945,8,2,0.479716986
26500,2990,2,1,one,no,no,no,no,no,1,no,8689.436136,7,1,0.32790325
43000,3750,3,1,two,yes,no,no,no,no,0,no,8003.486056,7,0,0.186127583
56000,3000,3,1,two,yes,no,no,no,no,0,no,-8140.852891,6,0,-0.145372373
40000,2650,3,1,two,yes,no,yes,no,no,1,no,14795.69206,8,1,0.369892301
51000,4500,4,2,two,yes,no,yes,no,no,2,no,19191.02118,8,2,0.376294533
51000,4500,2,1,one,no,no,no,no,no,0,no,-5560.6996,6,0,-0.109033325
57250,4500,3,1,two,no,no,yes,no,yes,0,no,4587.115582,7,0,0.08012429
44000,4500,2,1,two,yes,no,no,yes,no,1,no,15018.18532,8,1,0.341322394
61000,2175,3,1,two,no,yes,yes,no,yes,0,no,-1723.453251,6,0,-0.028253332
62000,4500,3,2,three,yes,no,no,yes,no,1,no,9471.644697,7,1,0.152768463
80000,4800,5,2,three,no,no,yes,yes,no,0,no,-11383.23711,5,1,-0.142290464
50000,4600,4,1,two,yes,no,no,no,no,0,no,2019.505119,7,0,0.040390102
59900,3450,3,1,two,yes,no,no,no,no,1,no,-7596.211683,6,0,-0.126814886
35500,3000,3,1,two,no,no,no,no,no,0,no,7288.133949,7,0,0.205299548
37000,3600,2,2,two,yes,no,yes,no,no,1,no,13404.80341,8,1,0.362291984
42000,3600,3,1,two,no,no,no,no,no,1,no,4508.970198,7,0,0.107356433
48000,3750,3,1,one,yes,no,no,no,no,0,no,749.9643836,6,0,0.015624258
60000,2610,4,3,two,no,no,no,no,no,0,no,-1711.553678,6,0,-0.028525895
60000,2953,3,1,two,yes,no,yes,no,yes,0,no,535.1945942,6,0,0.00891991
60000,2747,4,2,two,no,no,no,no,no,0,no,-3220.879807,6,0,-0.05368133
62000,1905,5,1,two,no,no,yes,no,no,0,no,-7358.866924,6,0,-0.118691402
63000,3968,3,1,two,no,no,no,no,no,0,no,-21721.71617,5,2,-0.344789146
63900,3162,3,1,two,yes,no,no,no,yes,1,no,-7040.25166,6,0,-0.110176082
130000,6000,4,1,two,yes,no,yes,no,no,2,no,-44356.34932,3,5,-0.341202687
25000,2910,3,1,one,no,no,no,no,no,0,no,12675.85699,8,1,0.507034279
50000,2135,3,2,two,no,no,no,no,no,0,no,3374.349638,7,0,0.067486993
52900,3120,3,1,two,no,no,yes,yes,no,0,no,7730.498823,7,0,0.146134193
62000,4075,3,1,one,yes,yes,yes,no,no,2,no,4359.94983,7,0,0.070321771
73500,3410,3,1,two,no,no,no,no,yes,0,no,-19989.92237,5,2,-0.271971733
38000,2800,3,1,one,yes,no,no,no,no,0,no,3936.087203,7,0,0.103581242
46000,2684,2,1,one,yes,no,no,no,yes,1,no,-5337.122934,6,0,-0.116024412
48000,3100,3,1,two,no,no,yes,no,no,0,no,-219.5227463,6,0,-0.004573391
52500,3630,2,1,one,yes,no,yes,no,no,0,no,663.4602366,6,0,0.012637338
32000,1950,3,1,one,no,no,no,yes,no,0,no,1540.392649,7,0,0.04813727
38000,2430,3,1,one,no,no,no,no,no,0,no,898.6259133,7,0,0.02364805
46000,4320,3,1,one,no,no,no,no,no,1,no,4680.859472,7,0,0.101757815
50000,3036,3,1,two,yes,no,yes,no,no,0,no,1892.595923,7,0,0.037851918
57500,3630,3,2,two,yes,no,no,yes,no,2,no,20454.65072,8,2,0.355733056
70000,5400,4,1,two,yes,no,no,no,no,0,no,-17958.19419,5,2,-0.256545631
69900,3420,4,2,two,yes,no,yes,no,yes,2,no,4893.98381,7,0,0.070014075
74500,3180,3,2,two,yes,no,no,no,no,2,no,-3111.326826,6,0,-0.041762776
42000,3660,4,1,two,no,no,no,no,no,0,no,3582.841891,7,0,0.085305759
60000,4410,2,1,one,no,no,no,no,no,1,no,-12196.10703,5,1,-0.20326845
50000,3990,3,1,two,yes,no,no,no,no,0,no,1845.984198,7,0,0.036919684
58000,4340,3,1,one,yes,no,no,no,no,0,no,-5451.530616,6,0,-0.093991907
63900,3510,3,1,two,yes,no,no,no,no,0,no,-12062.57441,5,1,-0.188772683
28000,3420,5,1,two,no,no,no,no,no,0,no,10759.09832,7,1,0.384253511
54000,3420,2,1,two,yes,no,no,yes,no,1,no,-943.3055275,6,0,-0.017468621
44700,5495,3,1,one,yes,no,yes,no,no,0,no,9108.278116,7,1,0.203764611
47000,3480,4,1,two,no,no,no,no,no,1,no,-3866.556727,6,0,-0.082267164
50000,7424,3,1,one,no,no,no,no,no,0,no,1836.784936,7,0,0.036735699
57250,3460,4,1,two,yes,no,no,no,yes,0,no,-5501.28969,6,0,-0.096092396
67000,3630,3,1,two,yes,no,no,no,no,2,no,-6307.725209,6,0,-0.094145152
52500,3630,2,1,one,yes,no,no,no,yes,0,no,-2751.318054,6,0,-0.052406058
42000,3480,3,1,two,no,no,no,no,no,1,no,1959.362318,7,0,0.046651484
57500,3460,3,2,one,yes,no,yes,no,yes,1,no,15427.06525,8,1,0.268296787
33000,3180,2,1,one,yes,no,no,no,no,0,no,5871.288936,7,0,0.177917847
34400,3635,2,1,one,no,no,no,no,no,0,no,10524.89426,7,1,0.305956228
40000,3960,3,1,one,yes,no,no,no,no,0,no,8749.964384,7,1,0.21874911
40500,4350,3,1,two,no,no,no,yes,no,1,no,13929.23666,8,1,0.343931769
46500,3930,2,1,one,no,no,no,no,no,0,no,-1496.278083,6,0,-0.032178023
52000,3570,3,1,two,yes,no,yes,no,no,0,no,3672.158092,7,0,0.070618425
53000,3600,3,1,one,yes,no,no,no,no,1,no,-270.9404651,6,0,-0.005112084
53900,2520,5,2,one,no,no,yes,no,yes,1,no,6449.808513,7,0,0.119662496
50000,3480,3,1,one,no,no,no,no,yes,0,no,-3228.518142,6,0,-0.064570363
55500,3180,4,2,two,yes,no,no,no,no,0,no,5661.546258,7,0,0.102009842
56000,3290,2,1,one,yes,no,no,yes,no,1,no,-8617.668434,6,1,-0.153886936
60000,4000,4,2,two,no,no,no,no,no,0,no,-6212.151435,6,0,-0.103535857
60000,2325,3,1,two,no,no,no,no,no,0,no,-10393.24149,6,1,-0.173220691
69500,4350,2,1,one,yes,no,yes,no,no,0,no,-13659.24538,5,1,-0.196535905
72000,3540,2,1,one,no,yes,yes,no,no,0,no,-15320.85032,5,1,-0.212789588
92500,3960,3,1,one,yes,no,yes,no,no,2,no,-30223.66363,4,3,-0.32674231
40500,2640,2,1,one,no,no,no,no,no,1,no,-4131.192568,6,0,-0.102004755
42000,2700,2,1,one,no,no,no,no,no,0,no,-5936.655912,6,0,-0.14134895
47900,2700,3,1,one,no,no,no,no,no,0,no,-9001.374087,6,1,-0.187920127
52000,3180,3,1,two,no,no,yes,no,no,0,no,-4219.522746,6,0,-0.081144668
62000,3500,4,1,two,yes,no,no,no,no,2,no,-6770.854882,6,0,-0.109207337
41000,3630,2,1,one,yes,no,no,no,no,0,no,6484.82668,7,0,0.158166504
138300,6000,4,3,two,yes,yes,yes,yes,no,2,no,-7518.359327,6,0,-0.054362685
42000,3150,3,1,two,no,no,no,no,no,0,no,788.1339492,7,0,0.018765094
47000,3792,4,1,two,yes,no,no,no,no,0,no,3498.684005,7,0,0.074440085
64500,3510,3,1,three,yes,no,no,no,no,0,no,-7566.337774,6,0,-0.117307562
46000,3120,3,1,two,no,no,no,no,no,0,no,-3211.866051,6,0,-0.069823175
58000,3000,4,1,three,yes,no,yes,no,yes,2,no,421.4266487,6,0,0.007265977
70100,4200,3,1,two,yes,no,no,no,no,1,no,-8163.221798,6,0,-0.116451096
78500,2817,4,2,two,no,yes,yes,no,no,1,no,-10141.58355,6,1,-0.129192147
87250,3240,4,1,three,yes,no,no,no,no,1,no,-36160.52469,3,4,-0.414447274
70800,2800,3,2,two,no,no,yes,no,yes,1,no,-832.9628355,6,0,-0.011765012
56000,3816,2,1,one,yes,no,yes,no,yes,2,no,-1634.923784,6,0,-0.029195068
48000,3185,2,1,one,yes,no,yes,no,no,2,no,-2441.236858,6,0,-0.050859101
68000,6321,3,1,two,yes,no,yes,no,yes,1,no,19724.94905,8,2,0.29007278
79000,3650,3,2,two,yes,no,no,no,no,2,no,-6675.535912,6,0,-0.084500455
80000,4700,4,1,two,yes,yes,yes,no,yes,1,no,-2112.248319,6,0,-0.026403104
87000,6615,4,2,two,yes,yes,no,yes,no,1,no,8763.468899,7,1,0.100729528
25000,3850,3,1,two,yes,no,no,no,no,0,no,26003.48606,9,3,1.040139442
32500,3970,1,1,one,no,no,no,no,no,0,no,6409.195744,7,0,0.197206023
36000,3000,2,1,two,yes,no,no,no,no,0,no,6811.880067,7,0,0.189218891
42500,4352,4,1,two,no,no,no,no,no,1,no,10348.70901,7,1,0.243499035
43000,3630,4,1,two,yes,no,no,no,no,3,no,5524.90245,7,0,0.128486103
50000,3600,6,1,two,yes,no,no,no,no,1,no,601.2823437,6,0,0.012025647
26000,3000,2,1,one,yes,no,yes,no,no,2,no,13015.75355,8,1,0.500605906
30000,3000,4,1,two,yes,no,no,no,no,0,no,14055.83224,8,1,0.468527741
34000,2787,4,2,two,yes,no,no,no,no,0,no,26350.76331,9,3,0.77502245
52000,3000,2,1,two,yes,no,no,no,yes,0,no,-1722.772768,6,0,-0.033130246
70000,4770,3,1,one,yes,yes,yes,no,no,0,no,-12500.71799,5,1,-0.178581686
27000,3649,2,1,one,yes,no,no,no,no,0,no,20534.94732,8,2,0.760553605
32500,3970,3,1,two,yes,no,yes,no,no,0,no,18540.71686,8,2,0.570483596
37200,2910,2,1,one,no,no,no,no,no,0,no,-1510.845936,6,0,-0.040614138
38000,3480,2,1,one,yes,no,no,no,no,1,no,2823.795239,7,0,0.074310401
42000,6615,3,1,two,yes,no,no,no,no,0,no,16016.78102,8,1,0.381351929
44500,3500,2,1,one,yes,no,no,no,no,0,no,-2937.301992,6,0,-0.066006786
45000,3450,3,1,two,yes,no,yes,no,no,0,no,7209.322773,7,0,0.160207173
48500,3450,3,1,one,yes,no,yes,no,no,2,no,1311.081023,7,0,0.027032598
52000,3520,2,2,one,yes,no,yes,no,no,0,no,3263.659861,7,0,0.06276269
53900,6930,4,1,two,no,no,no,no,no,1,no,5101.109312,7,0,0.094640247
60000,4600,3,2,two,yes,no,no,no,yes,1,no,30016.52697,9,3,0.50027545
61000,4360,4,1,two,yes,no,no,no,no,0,no,-6817.606639,6,0,-0.111764043
64500,3450,3,1,two,yes,no,yes,no,no,1,no,-8162.762869,6,0,-0.126554463
71000,4410,4,3,two,yes,no,yes,no,no,2,no,4461.053151,7,0,0.062831735
75500,4600,2,2,one,yes,no,no,no,yes,2,no,2477.707891,7,0,0.032817323
33500,3640,2,1,one,yes,no,no,no,no,0,no,13984.82668,8,1,0.417457513
41000,6000,2,1,one,yes,no,no,no,no,0,no,25067.42088,9,3,0.611400509
41000,5400,4,1,two,yes,no,no,no,no,0,no,11041.80581,7,1,0.269312337
46200,3640,4,1,two,yes,no,yes,no,no,0,no,7673.980225,7,0,0.166103468
48500,3640,2,1,one,yes,no,no,no,no,0,no,-1015.17332,6,0,-0.020931409
48900,4040,2,1,one,yes,no,no,no,no,0,no,488.1912147,6,0,0.00998346
50000,3640,2,1,one,yes,no,no,no,no,1,no,-1312.788619,6,0,-0.026255772
51000,3640,2,1,one,yes,no,no,no,no,0,no,-3515.17332,6,0,-0.068924967
52500,5640,2,1,one,no,no,no,no,no,0,no,-4790.355096,6,0,-0.091244859
52500,3600,2,1,one,yes,no,no,no,no,0,no,-4485.0005,6,0,-0.085428581
54000,3600,2,1,one,yes,no,no,no,no,0,no,-5985.0005,6,0,-0.110833343
59000,4632,4,1,two,yes,no,no,no,yes,0,no,6080.128746,7,0,0.10305303
60000,3640,3,2,two,yes,no,yes,no,no,0,no,179.2788152,6,0,0.00298798
63000,4900,2,1,two,yes,no,yes,no,no,0,no,-7765.471974,6,0,-0.12326146
64000,4510,4,1,two,yes,no,no,no,yes,2,no,3315.766529,7,0,0.051808852
64900,4100,2,2,one,yes,yes,yes,no,no,0,no,-4191.80511,6,0,-0.064588677
65000,3640,3,1,two,yes,no,no,no,yes,0,no,-6159.796197,6,0,-0.094766095
66000,5680,3,1,two,yes,yes,no,no,yes,1,no,13571.56968,8,1,0.205629844
70000,6300,3,1,one,yes,no,no,no,yes,2,no,8648.150338,7,1,0.123545005
65500,4000,3,1,two,yes,no,no,no,no,1,no,-5630.503165,6,0,-0.08596188
57000,3960,3,1,two,yes,no,no,no,no,0,no,-5996.513944,6,0,-0.105201999
52000,5960,3,1,two,yes,yes,yes,no,no,0,no,22646.11386,8,2,0.43550219
54000,5830,2,1,one,yes,no,no,no,no,2,no,-24.39524772,6,0,-4.52E-04
74500,4500,4,2,one,no,no,yes,no,yes,2,no,-235.8905023,6,0,-0.003166315
90000,4100,3,2,three,yes,no,no,no,yes,2,no,-1703.351346,6,0,-0.018926126
45000,6750,2,1,one,yes,no,no,no,no,0,no,6985.703108,7,0,0.155237847
45000,9000,3,1,two,yes,no,no,no,no,2,no,26007.72138,9,3,0.577949364
65000,2550,3,1,two,yes,no,yes,no,no,0,no,-13918.18702,5,1,-0.214125954
55000,7152,3,1,two,yes,no,no,no,yes,0,no,24156.60728,8,2,0.439211041
62000,6450,4,1,two,yes,no,no,no,no,0,no,-4686.737337,6,0,-0.075592538
30000,3360,2,1,one,yes,no,no,no,no,1,no,8578.479796,7,1,0.285949327
34000,3264,2,1,one,yes,no,no,no,no,0,no,3274.715364,7,0,0.096315158
38000,4000,3,1,one,yes,no,no,no,no,0,no,11592.46253,7,1,0.305064803
39000,4000,3,1,two,yes,no,no,no,no,1,no,20869.49683,8,2,0.535115303
45000,3069,2,1,one,yes,no,no,no,no,1,no,-6110.305197,6,0,-0.13578456
47000,4040,2,1,one,yes,no,no,no,no,0,no,2388.191215,7,0,0.050812579
47500,4040,2,1,one,yes,no,no,no,no,1,no,3780.684393,7,0,0.079593356
49000,3185,2,1,one,yes,no,no,no,no,2,no,-7951.098324,6,0,-0.162267313
50000,5900,2,1,one,yes,no,no,no,no,1,no,1210.931064,7,0,0.024218621
50000,3120,3,1,two,yes,no,no,no,no,1,no,1783.897361,7,0,0.035677947
52900,5450,2,1,one,yes,no,no,no,no,0,no,-3917.919876,6,0,-0.074062758
53000,4040,2,1,one,yes,no,no,no,no,0,no,-3611.808785,6,0,-0.068147336
55000,4080,2,1,one,yes,no,no,no,no,0,no,-5611.808785,6,0,-0.102032887
56000,8080,3,1,one,yes,no,no,no,yes,2,no,10794.14116,7,1,0.192752521
58500,4040,2,1,two,yes,no,no,no,no,1,no,-5264.405577,6,0,-0.089989839
59500,4080,3,1,two,yes,no,no,no,no,2,no,2892.431341,7,0,0.048612291
60000,5800,3,1,one,yes,no,no,yes,no,2,no,12883.8278,8,1,0.214730463
64000,5885,2,1,one,yes,no,no,no,yes,1,no,-2641.600039,6,0,-0.041275001
67000,9667,4,2,two,yes,yes,yes,no,no,1,no,11255.80035,7,1,0.16799702
68100,3420,4,2,two,yes,no,no,no,no,0,no,-6621.726893,6,0,-0.097235344
70000,5800,2,1,one,yes,yes,yes,no,yes,0,no,-1346.507521,6,0,-0.019235822
72000,7600,4,1,two,yes,no,no,no,yes,2,no,19736.38414,8,2,0.274116446
57500,5400,3,1,one,yes,no,no,no,no,3,no,-410.8324272,6,0,-0.007144912
69900,4995,4,2,one,yes,no,yes,no,no,0,no,-5657.824412,6,0,-0.080941694
